ENSP	VNG-ORF
Q9HRJ8	VNG0666G
Q9HRJ7	VNG0667G
Q9HRJ6	VNG0668C
Q9HRJ5	VNG0669H
Q9HRJ4	VNG0670H
Q9HRJ3	VNG0671H
Q9HRJ2	VNG0673G
Q9HRJ1	VNG0674C
Q9HRJ0	VNG0675C
Q9HRI9	VNG0676C
Q9HRI7	VNG0677H
Q9HRI8	VNG0678G
Q9HRI6	VNG0679G
Q9HRI5	VNG0680G
Q9HRI4	VNG0681G
Q9HRI3	VNG0682C
Y683_HALN1	VNG0683C
Q9HRI1	VNG0684G
Q9HRI0	VNG0686C
Q9HRH9	VNG0688H
Q9HRH8	VNG0689G
Q9HRH7	VNG0690C
Q9HRH6	VNG0692C
Q9HRH5	VNG0694G
Q9HRH4	VNG0697H
Q9HRH3	VNG0698H
Q9HRH2	VNG0700G
Q9HRH1	VNG0702H
Q9HRH0	VNG0703H
Q9HRG9	VNG0704C
Q9HRG8	VNG0705C
Q9HRG7	VNG0707C
Q9HRG6	VNG0708H
Q9HRG5	VNG0709C
Q9HRG4	VNG0711C
Q9HRG3	VNG0713C
THIC_HALN1	VNG0715G
Q9HRG1	VNG0716G
Q9HRG0	VNG0717H
PGP_HALN1	VNG0718C
Q9HRF8	VNG0719G
Q9HRF7	VNG0720G
Q9HRF6	VNG0723G
Q9HRF5	VNG0724H
Q9HRF4	VNG0725H
Q9HRF3	VNG0726C
Q9HRF2	VNG0727C
Q9HRF1	VNG0729H
PANE_HALN1	VNG0730C
Q9HRE9	VNG0731H
RTCA_HALN1	VNG0732G
Q9HRE7	VNG0733H
TFB2_HALN1	VNG0734G
Q9HRE5	VNG0735G
Q9HRE4	VNG0736G
Q9HRE2	VNG0737H
Q9HRE3	VNG0738H
Q9HRE1	VNG0740C
Q9HRE0	VNG0741H
Q9HRD9	VNG0742H
Q9HRD8	VNG0743H
Q9HRD7	VNG0745G
Y746_HALN1	VNG0746C
Q9HRD5	VNG0748G
Q9HRD4	VNG0749G
Q9HRD3	VNG0750C
Q9HRD2	VNG0751C
Q9HRD1	VNG0752G
Q9HRD0	VNG0753G
Q9HRC9	VNG0754C
Y755_HALN1	VNG0755C
Q9HRC7	VNG0757G
Q9HRC6	VNG0758C
Q9HRC5	VNG0759H
Q9HRC4	VNG0761G
Q9HRC3	VNG0762H
Q9HRC2	VNG0763G
Q9HRC1	VNG0764C
Q9HRC0	VNG0765H
Q9HRB9	VNG0766G
Q9HRB8	VNG0767H
Q9HRB7	VNG0768H
Q9HRB6	VNG0769H
Q9HRB5	VNG0771G
Q9HRB4	VNG0772H
Q9HRB3	VNG0775G
Q9HRB2	VNG0777G
Q9HRB1	VNG0778C
Q9HRB0	VNG0779C
Q9HRA9	VNG0780H
Q9HRA8	VNG0782H
Q9HRA7	VNG0784G
Q9HRA6	VNG0786G
RS3A_HALN1	VNG0787G
Q9HRA4	VNG0788H
Q9HRA3	VNG0789C
Q9HRA2	VNG0790G
Q9HRA1	VNG0793G
Q9HRA0	VNG0794G
Q9HR99	VNG0795G
Q9HR98	VNG0796G
Q9HR97	VNG0798H
Q9HR96	VNG0799C
Q9HR95	VNG0800H
Q9HR94	VNG0801C
Q9HR93	VNG0804C
HTR6_HALN1	VNG0806G
Q9HR91	VNG0808G
Q9HR90	VNG0810H
Q9HR89	VNG0811H
Q9HR88	VNG0812G
Q9HR87	VNG0813G
Q9HR86	VNG0814C
Q9HR85	VNG0815G
